name,category,pid,price,image,description,rating,brand
Silver Brass Handicraft Gift,Brass Handicrafts,48,160.0,//5.imimg.com/data5/SELLER/Default/2021/12/SM/HR/OI/57332491/brass-handicraft-gift-500x500-500x500.jpg,"These Products are made of metal and polished with best quality item so it will remain same and it can be used for home and kitchen purpose.            
",5.0,Urban Crafts India
Antique Brass Box,Brass Handicrafts,49,900.0,//5.imimg.com/data5/EP/AU/MY-8482776/antique-brass-box-500x500.jpg,Our company has achieved widespread recognition for providing,4.5,The Oldman Arts International
Unique Vintage Brass Car for Home,Brass Crafts,50,1100.0,//5.imimg.com/data5/EV/NP/YS/SELLER-37335946/31091903-1757384861005208-5137439248667901952-n-500x500.jpg,Vintage Crafts,4.0,Vintage Crafts
"Golden As Shown In Picture Brass Traditional Surai, For Home Decoration",Brass Crafts,51,750.0,//2.imimg.com/data2/QU/CI/MY-/27-500x500.jpg,"We are listed amid the principal companies affianced in the realm of presenting to our clients a huge assortment of Brass Traditional Surai. Under the command of skilled employees, the offered surai are made-up using exceptional-quality raw material and are enormously valued for their error less finish and flexibility. More to this, our clients can purchase these products from us at low-priced costs.",5.0,Handicraft Home (india)
Wooden Elephant,Wooden Elephant,52,1200.0,//5.imimg.com/data5/VB/EK/FQ/SELLER-44961164/wooden-elephant-500x500.jpg,"Relying on our crew of knowledgeable designers, we are engaged in offering eye-catching range of Wooden Elephant 
",4.4,Satish Fine Arts
Brown Wood Elephant Shikaar Carvings/Wooden Elephant,Wooden Elephant,53,350.0,//5.imimg.com/data5/BI/PJ/MY-12118886/handmade-jali-work-wooden-elephant-500x500.jpg,"Colour / Material : Light Brown / Wood.Hand Crafted Wooden Carved Elephant with Trunk Up - Fine Carving Upper Trunk Elephant FiguringSize:3""/4""/5""/6"" 
",4.2,Popli Brass Shop
"Wooden Bawla Musician for Decoration, Size: 2.5 Inches",Wooden Handicraft,54,280.0,//5.imimg.com/data5/DH/QB/MY-8604051/wooden-bawala-musician-2-500x500.jpg,"This handcrafted Rajasthani six-piece musician set is made of fine termite proof light weight wood. Each piece is beautifully hand painted. This show piece is an ideal item for your home decor. The item being handmade, the fine design, pattern and color tone of the product may vary slightly from that shown in the image.The musicians hold different instruments like: Dholak, Sitar, Table, Manjhira, Sarangi, Shehnai etc. 
",4.0,Indian Culture Handicraft
"Wooden Monkey Set for Gift, Size: 3 Inch",Wooden Handicraft,55,250.0,//5.imimg.com/data5/UG/XT/RI/ANDROID-12729036/product-jpeg-500x500.jpg,"This handcarved Gandhi Monkey is a set of 3 monkeys of Mahatma Gandhi- Do not See Evil, Do not Talk Evil, Do not Hear Evil. The monkeys are beautifully carved out of fine light weight wood with small monkeys seen from the jali as trapped inside the outer bigger monkeys. The height of the artifact is approx 3.5 inch.            
",3.7,Hastkala Arts
Wooden Parrot Round Pavati Wp057,Wooden Handicraft,56,180.0,//4.imimg.com/data4/EX/YH/ANDROID-1819434/product-500x500.jpeg,"Hand painted carved green wooden parrot round pavatisize (in)rate (rs. )31804270537565558750 
Additional Information  Item Code  WP057   Delivery Time  3 Days   Port Of Dispatch  Jaipur   Production Capacity  1000   Payment Terms  T/T (Bank Transfer)/D/A 
",3.8,Little India
cotton leaf Floral Single Blanket 104," Blankets, Quilts & Dohars",57,1999.0,http://img6a.flixcart.com/image/blanket/k/8/y/chdr-104-cotton-leaf-solapur-chaddar-1100x1100-imaeedxedwd7mbfy.jpeg,"cotton leaf Floral Single Blanket 104 (1 Authentic Solapuri Chaddar)
                         Price: Rs. 599
				
			Give authentic look to your bedroom with this Authentic Designed, 100 % Cotton, Handloom Woven Rich Solapuri Chaddar. This will add up to fresh look and comfort of your bedroom.
Give authentic look to your bedroom with this Authentic Designed, 100 % Cotton, Handloom Woven Rich Solapuri Chaddar. This will add up to fresh look and comfort of your bedroom.",4.3,cotton leaf
Handloom Hut Polyester Pista (Green) Crush Solid Eyelet Window Curtain, Curtains,58,1599.0,http://img5a.flixcart.com/image/curtain/g/r/d/greencrush003-7-213-shiv-shankar-handloom-eyelet-crush-curtain-1100x1100-imaebnxgwp7meuh2.jpeg,Buy Handloom Hut Polyester Pista (Green) Crush Solid Eyelet Window Curtain at Rs. 1099 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,4.9,Handloom Hut
Handloomhub Polyester Pink Floral Eyelet Door Curtain, Curtains,59,799.0,http://img6a.flixcart.com/image/curtain/2/6/m/sdeuas1747-150-jazz-eyelet-curt206-1100x1100-imaey8r4fg3zqcdw.jpeg,Buy Handloomhub Polyester Pink Floral Eyelet Door Curtain at Rs. 518 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,3.0,Handloomhub
Handloomhub Polyester Light Blue Self Design Eyelet Door Curtain, Curtains,60,1499.0,http://img6a.flixcart.com/image/curtain/n/6/g/hh-0038-213-homesazz-eyelet-plain-with-lace-original-imaefxy6nsbmdt4b.jpeg,Buy Handloomhub Polyester Light Blue Self Design Eyelet Door Curtain at Rs. 973 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,3.9,Handloomhub
Handloomhub Polyester Pink Self Design Eyelet Door Curtain, Curtains,61,1499.0,http://img5a.flixcart.com/image/curtain/k/t/c/hh-0043-213-homesazz-eyelet-plain-with-lace-original-imaefxy69yftvxzh.jpeg,Buy Handloomhub Polyester Pink Self Design Eyelet Door Curtain at Rs. 973 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,2.9,Handloomhub
